control_code,clause_code
AC-3,ISO27001:8.1
AC-7,ISO27001:9.1
CP-9,ISO22301:8.5
CP-10,ISO22301:8.5
SI-12,ISO27001:7.5
AC-3,ISO20000:8.1
CP-2,ISO20000:8.7
CP-4,ISO20000:8.7
AC-1,ISO27001:5.2
AC-2,ISO27001:7.5
AC-5,ISO27001:5.3
AC-6,ISO27001:8.3
AC-17,ISO27001:8.1
AC-18,ISO27001:8.1
AC-19,ISO27001:8.1
AC-20,ISO27001:8.1
AC-21,ISO27001:7.4
AC-22,ISO27001:8.1
AU-2,ISO27001:9.1
AU-3,ISO27001:9.1
AU-6,ISO27001:9.1
AU-7,ISO27001:9.1
AU-9,ISO27001:8.1
AU-11,ISO27001:7.5
AU-12,ISO27001:9.1
CA-2,ISO27001:9.2
CA-5,ISO27001:10.1
CA-7,ISO27001:9.1
CM-1,ISO27001:5.2
CM-2,ISO27001:8.1
CM-3,ISO27001:6.3
CM-6,ISO27001:8.1
CM-8,ISO27001:7.5
CP-1,ISO22301:5.2
CP-2,ISO22301:8.4
CP-3,ISO22301:7.2
CP-4,ISO22301:8.5
CP-6,ISO22301:8.4
CP-7,ISO22301:8.4
CP-8,ISO22301:8.4
IA-1,ISO27001:5.2
IA-2,ISO27001:8.1
IA-4,ISO27001:8.1
IA-5,ISO27001:8.1
IR-1,ISO27001:5.2
IR-2,ISO27001:7.2
IR-4,ISO27001:10.1
IR-5,ISO27001:9.1
IR-6,ISO27001:7.4
IR-8,ISO27001:6.3
MA-1,ISO27001:5.2
MA-2,ISO27001:8.1
MA-5,ISO27001:5.3
MP-1,ISO27001:5.2
MP-2,ISO27001:8.1
MP-3,ISO27001:7.5
MP-4,ISO27001:8.1
MP-5,ISO27001:8.1
MP-6,ISO27001:8.1
PE-1,ISO27001:5.2
PE-2,ISO27001:8.1
PE-3,ISO27001:8.1
PE-6,ISO27001:9.1
PE-11,ISO22301:8.4
PE-12,ISO22301:8.4
PE-13,ISO22301:8.4
PE-17,ISO22301:8.4
PL-1,ISO27001:5.2
PL-2,ISO27001:6.3
PL-4,ISO27001:5.2
PL-8,ISO27001:6.3
PS-1,ISO27001:5.2
PS-2,ISO27001:5.3
PS-3,ISO27001:5.3
PS-4,ISO27001:5.3
PS-5,ISO27001:5.3
PS-7,ISO27001:5.3
RA-1,ISO27001:5.2
RA-2,ISO27001:8.2
RA-3,ISO27001:8.2
RA-5,ISO27001:8.2
SA-1,ISO27001:5.2
SA-2,ISO27001:7.1
SA-3,ISO27001:6.3
SA-9,ISO27001:8.1
SA-12,ISO27001:8.1
SA-17,ISO27001:6.3
SC-1,ISO27001:5.2
SC-2,ISO27001:8.3
SC-3,ISO27001:8.3
SC-7,ISO27001:8.1
SC-8,ISO27001:8.1
SC-13,ISO27001:8.1
SC-28,ISO27001:8.1
SI-1,ISO27001:5.2
SI-2,ISO27001:8.3
SI-3,ISO27001:8.3
SI-4,ISO27001:9.1
SI-5,ISO27001:7.4
SI-7,ISO27001:8.1
SI-10,ISO27001:8.3
SI-12,ISO27001:7.5
AT-1,ISO27001:5.2
AT-2,ISO27001:7.3
AT-3,ISO27001:7.2
PM-1,ISO27001:6.3
PM-2,ISO27001:5.1
PM-3,ISO27001:7.1
PM-4,ISO27001:10.1
PM-5,ISO27001:7.5
PM-6,ISO27001:9.1
PM-7,ISO27001:6.3
PM-8,ISO22301:8.4
PM-9,ISO27001:8.2
PM-22,ISO20000:9.1

