code,name,description,category_code,default_likelihood,default_impact,tags,control_refs
RISK-001,Unauthorized Access to Systems,Potential for unauthorized users gaining access to critical systems,SECURITY,4,5,"['data-breach','access-control']","['AC-3','AC-7']"
RISK-002,Data Loss or Corruption,Loss or corruption of critical business data due to system failures or human error,TECHNICAL,3,5,"['data-integrity','backup']","['CP-9','SI-12']"
RISK-003,Service Availability Disruption,Extended unavailability of critical services impacting business operations,OPERATIONS,3,4,"['availability','uptime']","['CP-2','CP-4']"
RISK-004,Regulatory Non-Compliance,Failure to meet regulatory requirements resulting in penalties or sanctions,COMPLIANCE,2,5,"['compliance','regulatory']","['AC-20','CA-2']"
RISK-005,Vendor Service Failure,Third-party vendor service disruption affecting business continuity,VENDOR,3,4,"['vendor','third-party']","['SA-9','SA-12']"
RISK-006,Insider Threat,Malicious or negligent actions by internal staff causing harm to organization,SECURITY,2,5,"['insider-threat','human-risk']","['AC-5','PS-3']"
RISK-007,Network Security Breach,Compromise of network infrastructure leading to unauthorized access,SECURITY,3,5,"['network','cybersecurity']","['AC-4','SC-7']"
RISK-008,Application Vulnerability,Exploitation of application vulnerabilities leading to data exposure,TECHNICAL,4,4,"['application','vulnerability']","['SI-2','SI-3']"
RISK-009,Budget Overrun,Project or operational costs exceeding approved budgets,FINANCIAL,3,3,"['financial','budget']","['PM-2','PM-9']"
RISK-010,Inadequate Change Management,Poorly managed changes causing system instability or service disruption,OPERATIONS,3,4,"['change-management','process']","['CM-3','CM-5']"
RISK-011,Phishing and Social Engineering,Successful phishing attacks leading to credential compromise,SECURITY,4,4,"['phishing','social-engineering']","['AT-2','AT-3']"
RISK-012,Insufficient Backup and Recovery,Inability to restore systems or data following an incident,TECHNICAL,2,5,"['backup','recovery']","['CP-9','CP-10']"
RISK-013,Supply Chain Compromise,Compromise through supplier or partner security weaknesses,VENDOR,2,4,"['supply-chain','vendor']","['SA-9','SA-12']"
RISK-014,Identity Theft and Fraud,Theft or misuse of user identities for fraudulent purposes,SECURITY,3,5,"['identity','fraud']","['IA-4','IA-5']"
RISK-015,Physical Security Breach,Unauthorized physical access to facilities or equipment,SECURITY,2,4,"['physical-security','facilities']","['PE-3','PE-6']"
RISK-016,Cloud Service Provider Failure,Disruption or compromise of cloud-based services,VENDOR,2,5,"['cloud','vendor']","['SA-9','SA-17']"
RISK-017,Inadequate Incident Response,Delayed or ineffective response to security incidents,SECURITY,3,4,"['incident-response','security']","['IR-4','IR-7']"
RISK-018,Malware and Ransomware,Malware infection including ransomware affecting systems or data,SECURITY,4,4,"['malware','ransomware']","['SI-3','SI-4']"
RISK-019,Data Privacy Violation,Unauthorized disclosure or processing of personal data,COMPLIANCE,3,5,"['privacy','gdpr']","['AC-3','DI-1']"
RISK-020,Weak Access Controls,Insufficient access control mechanisms allowing unauthorized access,SECURITY,3,4,"['access-control','authentication']","['AC-3','AC-7']"
RISK-021,Inadequate Security Monitoring,Lack of effective security monitoring leading to undetected threats,SECURITY,3,4,"['monitoring','detection']","['SI-4','AU-2']"
RISK-022,Third-Party Data Breach,Data breach at third-party service provider affecting organization data,VENDOR,2,5,"['vendor','data-breach']","['SA-9','SA-12']"
RISK-023,Insufficient Encryption,Weak or missing encryption leading to data exposure,SECURITY,2,4,"['encryption','data-protection']","['SC-13','SC-28']"
RISK-024,Configuration Management Failure,Poor configuration management leading to security weaknesses,OPERATIONS,3,3,"['configuration','change-management']","['CM-2','CM-6']"
RISK-025,Inadequate Business Continuity Planning,Insufficient business continuity planning causing extended outages,OPERATIONS,2,5,"['business-continuity','disaster-recovery']","['CP-2','CP-4']"
RISK-026,Market Share Loss,Declining market position due to competitive pressures,STRATEGIC,3,4,"['strategic','market']","[]"
RISK-027,Technology Obsolescence,Use of outdated technology limiting business capabilities,TECHNICAL,3,3,"['technology','obsolescence']","['CM-8','PM-7']"
RISK-028,Project Delivery Failure,Failure to deliver projects on time or within budget,OPERATIONS,3,4,"['project-management','delivery']","['PM-2','PM-9']"
RISK-029,Insufficient Training and Awareness,Lack of security awareness leading to human errors,SECURITY,3,3,"['training','awareness']","['AT-2','AT-3']"
RISK-030,Compliance Audit Finding,Audit findings indicating non-compliance with standards or regulations,COMPLIANCE,3,4,"['audit','compliance']","['CA-2','CA-7']"

