standard_code,clause_code,title,text,parent_clause_code,path
ISO20000,4.1,Context of the Organization,Understanding the organization and its context to establish the SMS,,"ISO20000:4.1"
ISO20000,4.2,Understanding the Needs and Expectations of Interested Parties,Identifying relevant interested parties and their requirements,,"ISO20000:4.2"
ISO20000,4.3,Determining the Scope of the SMS,Defining boundaries and applicability of the service management system,,"ISO20000:4.3"
ISO20000,4.4,Service Management System,Establishing implementing maintaining and continually improving the SMS,,"ISO20000:4.4"
ISO20000,5.1,Leadership and Commitment,Top management demonstrates leadership and commitment,,"ISO20000:5.1"
ISO20000,5.2,Policy,Establishing service management policy aligned with strategic direction,,"ISO20000:5.2"
ISO20000,5.3,Organizational Roles Responsibilities and Authorities,Assigning roles responsibilities and authorities,,"ISO20000:5.3"
ISO20000,6.1,Actions to Address Risks and Opportunities,Determining and addressing risks and opportunities,,"ISO20000:6.1"
ISO20000,6.2,Service Management Objectives,Establishing service management objectives,,"ISO20000:6.2"
ISO20000,6.3,Planning of Changes,Planning changes to the SMS,,"ISO20000:6.3"
ISO20000,7.1,Resources,Determining and providing resources needed,,"ISO20000:7.1"
ISO20000,7.2,Competence,Ensuring persons are competent,,"ISO20000:7.2"
ISO20000,7.3,Awareness,Ensuring awareness of service management policy objectives and contributions,,"ISO20000:7.3"
ISO20000,7.4,Communication,Planning and controlling internal and external communications,,"ISO20000:7.4"
ISO20000,7.5,Documented Information,Creating updating and controlling documented information,,"ISO20000:7.5"
ISO20000,8.1,Operational Planning and Control,Planning implementing and controlling processes,,"ISO20000:8.1"
ISO20000,8.2,Service Portfolio,Establishing and maintaining service portfolio,,"ISO20000:8.2"
ISO20000,8.3,Relationship and Agreement,Managing relationships and agreements with customers and suppliers,,"ISO20000:8.3"
ISO20000,8.4,Supply and Demand,Managing supply and demand for services,,"ISO20000:8.4"
ISO20000,8.5,Service Design Build and Transition,Designing building and transitioning new or changed services,,"ISO20000:8.5"
ISO20000,8.6,Resolution and Fulfillment,Resolving incidents and fulfilling service requests,,"ISO20000:8.6"
ISO20000,8.7,Service Assurance,Ensuring service levels are met and services are available secure and continuous,,"ISO20000:8.7"
ISO20000,9.1,Monitoring Measurement Analysis and Evaluation,Monitoring measuring analyzing and evaluating service management performance,,"ISO20000:9.1"
ISO20000,9.2,Internal Audit,Conducting internal audits at planned intervals,,"ISO20000:9.2"
ISO20000,9.3,Management Review,Reviewing the SMS at planned intervals,,"ISO20000:9.3"
ISO20000,10.1,Nonconformity and Corrective Action,Handling nonconformities and taking corrective action,,"ISO20000:10.1"
ISO20000,10.2,Continual Improvement,Continually improving the suitability adequacy and effectiveness of the SMS,,"ISO20000:10.2"

